Term,Coef,t_stat,p_value
Intercept,-9.089731583983732e-05,-0.47051894193171323,0.6384263487186224
CPI_adj_pct1_diff1_lag1,0.002496657910422367,0.026759354084976737,0.9786746755088898
CapacityUtilization_diff3_lag2,-0.00014529702869095224,-1.4844397886165537,0.1390496662909979
CoreCPI_adj_pct1_diff1_lag1,-0.07049831476690345,-0.9635949994517085,0.3362523095045218
GBP_pct1,0.0009164587806159818,0.11314680745225615,0.9100120119387899
RiskFree_diff1,0.00017085573779032764,0.6295245179410364,0.5296251605766986
Housing_pct3_lag3,0.0005607660160266229,0.6008028439480361,0.5485578093821881
M2MoneySupply_pct1_lag1,0.02627256961315474,2.005878354438032,0.04603042415424984
Payroll_pct1_lag2,-0.06749285266790392,-0.553130676596491,0.5807065367708744
T10Y3M_diff1,-0.0006013890982432422,-0.6526620621889946,0.5146203462965993
TradeSales_pct1_lag2,0.007951864243350117,0.6095024582180276,0.5427878869581311
Unemployment_diff1_lag2,-0.0017792702807670638,-0.969910215262549,0.33310132122075253
Yield10Y_diff1,0.00041323626639033767,0.3707324351167477,0.7111751078565985
