Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_adj_pct1_diff1_lag1,1988-08-01,2026-04-01,453,-0.011571355173682685,,,-1.1803474007428345,0.2384828586797562,0.003225861740729684,0.0023174347816844057,-0.08242188675615243,0.4988962472406181,0.006793367416444207,3.084764644439284,0.07970737241551286
CapacityUtilization_diff3_lag2,1988-06-01,2021-04-01,395,-0.06698162494243665,,,-2.6080789195806884,0.009451347830708995,0.003122981988238416,0.0022237634285576396,-0.26838709361484736,0.4607594936708861,0.07203163201902474,30.505815025859903,6.064680439019195e-08
CoreCPI_adj_pct1_diff1_lag1,1988-08-01,2026-04-01,453,-0.026055989778459132,,,-1.4309748431520695,0.1531284169460159,0.003248875120145549,0.0023476260766970773,-0.07306217550663231,0.5143487858719646,0.005338081489762003,2.4203950177247098,0.12046615127803854
GBP_pct1,1990-06-01,2026-04-01,431,-0.12615095454008562,,,-1.920320392104621,0.05547856205497786,0.003161512587866832,0.002276241222719966,0.03174637516847752,0.48259860788863107,0.0010078323363374997,0.43279625835298,0.5109728926897499
RiskFree_diff1,1997-06-01,2026-04-01,347,-0.012163326525127083,,,-0.9472194668980556,0.34418801821065326,0.002903433271320488,0.002144248034040988,-0.08003532997275206,0.44668587896253603,0.0064056540438472975,2.2241980886079116,0.13677694679364683
Housing_pct3_lag3,1988-06-01,2026-04-01,428,-0.032112383589390836,,,-1.4485862027191652,0.1481870898761668,0.0030822254413041543,0.0022597843032754637,-0.12092426871999287,0.4322429906542056,0.014622678765464747,6.321701362360982,0.01229446082247786
M2MoneySupply_pct1_lag1,1988-06-01,2026-04-01,455,-0.029023264584786768,,,-0.899545075573228,0.3688392636370218,0.0032447838306915366,0.0023905430631327067,0.047935793691617753,0.432967032967033,0.002297840316845434,1.0433190440938371,0.3075959716035248
Payroll_pct1_lag2,1988-06-01,2026-04-01,455,-0.06042339681941544,,,-3.006164959761961,0.0027923294334263648,0.0032939182998257873,0.002341306650780468,-0.2103829756885289,0.3868131868131868,0.04426099645956039,20.978772784103978,6.010168150794104e-06
T10Y3M_diff1,1988-06-01,2017-07-01,350,-0.016664090363234907,,,-0.6768053543207821,0.49897778996743414,0.003006968949614503,0.0021626768865560266,-0.08448743127893008,0.4714285714285714,0.007138126044111903,2.501926933152934,0.11461549003421895
TradeSales_pct1_lag2,1988-06-01,2026-04-01,455,-0.04165826259426608,,,-1.8788482090348824,0.06090567235494997,0.0032646438066801517,0.002332814078756671,-0.11082209235257981,0.4725274725274725,0.01228153615340366,5.6327142613342165,0.01804460418788191
Unemployment_diff1_lag2,1988-06-01,2026-04-01,455,-0.03942873685566095,,,-2.0876163445740317,0.03738938466211081,0.003261148175462532,0.0023424701142137523,-0.11913098890116736,0.4,0.014192192516570112,6.521619286439181,0.010983491690157266
Yield10Y_diff1,1988-06-01,2026-04-01,455,-0.09539637303515014,,,-1.5693650178597185,0.11725957838289194,0.0033477947322653003,0.0023672886172345165,-0.08863611712997889,0.4945054945054945,0.007856361259879319,3.587113308759052,0.05886610280538279
