Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,5
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.09136295704916209
AR_CW_stat,3.8264954586399056
AR_CW_p,7.533192842958031e-05
AR_DM_stat,1.3793471885634427
AR_DM_p,0.16855457185487996
AR_RMSE,0.003273477985815828
AR_MAE,0.002469459557836189
AR_Cor,0.31861754797446146
AR_HitRate,0.56575682382134
AR_NumObs,403
VARX_R2_OOS,-0.020895035906824955
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-0.27651371972857197
VARX_DM_p,0.7822956325919129
VARX_RMSE,0.003469802468652033
VARX_MAE,0.002640766350730483
VARX_Cor,0.30197408756879907
VARX_HitRate,0.5508684863523573
VARX_NumObs,403
