Predictor,TimesSelected,FracOrigins
CoreCPI_pct1_diff1_lag1,70,0.56
CPI_pct1_diff1_lag1,49,0.392
Housing_pct3_lag3,47,0.376
CapacityUtilization_diff3_lag2,44,0.352
GBP_pct1,29,0.232
Payroll_pct1_lag2,26,0.208
M2MoneySupply_pct1_lag1,21,0.168
RiskFreeRate_diff1,14,0.112
Unemployment_diff1_lag2,11,0.088
Yield10Y_diff1,11,0.088
T10Y3M_diff1,10,0.08
TradeSales_pct1_lag2,4,0.032
