Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_adj_pct1_diff1_lag1,1993-05-01,2026-04-01,396,-0.027331773133023818,,,-2.0178786174828875,0.0442795519712108,0.0029163649529232337,0.0021739227248868723,-0.11686239055975214,0.47474747474747475,0.013656818327340114,5.4552883022389445,0.020010210931023446
CapacityUtilization_diff3_lag2,1993-03-01,2021-04-01,338,-0.09576270899722372,,,-1.597944863447435,0.11099241152455579,0.00268334330692372,0.001995700700568916,-0.281079782650739,0.4378698224852071,0.0790058442149868,28.823161894669123,1.482181536492781e-07
CoreCPI_adj_pct1_diff1_lag1,1993-05-01,2026-04-01,396,-0.02553480438697875,,,-2.0460058141019375,0.041417509728120944,0.0029138132405715413,0.0021677427245036947,-0.13980572849819642,0.46464646464646464,0.019545641720911666,7.854504162290722,0.005319782059167631
GBP_pct1,1995-03-01,2026-04-01,374,-0.0260182144175225,,,-2.5350277962975483,0.011651707048580508,0.0029067878423742225,0.002141870884843656,-0.21674522310209424,0.45989304812834225,0.04697849173757651,18.33746539282333,2.357909497812083e-05
RiskFree_diff1,2002-03-01,2026-04-01,290,-0.034583028036583086,,,-0.912994258433827,0.36200656735255876,0.0030014843051737812,0.00222519917157857,-0.025947390464706867,0.47586206896551725,0.00067326707192783,0.19403155176995104,0.6599125948852327
Housing_pct3_lag3,1993-03-01,2020-09-01,331,-0.028513206140057923,,,-1.914203074175464,0.056458858326056835,0.002596135594312189,0.001989029322577699,-0.10717218762233048,0.4471299093655589,0.011485877799755961,3.822761568351404,0.05140719589316645
M2MoneySupply_pct1_lag1,1993-03-01,2026-04-01,398,-0.01692679050711865,,,-0.9520920617352437,0.3416295855006395,0.0028959136158578764,0.002137568235572436,0.0024847427301357495,0.5226130653266332,6.173946434762101e-06,0.0024448978828131,0.9605888721931148
Payroll_pct1_lag2,1993-03-01,2026-04-01,398,-0.02582603299085151,,,-1.7689415693717832,0.0776713890292808,0.0029085572500328017,0.0021497562878887064,-0.1582765859337325,0.4723618090452261,0.02505147765483806,10.175291232252102,0.0015366778522345403
T10Y3M_diff1,1993-03-01,2017-07-01,293,-0.03994489680057556,,,-2.6054650459354156,0.00964517583761643,0.002468885295447322,0.0019141659084997782,-0.18874164677618366,0.4061433447098976,0.03562340922778551,10.749340231272907,0.0011697686132169994
TradeSales_pct1_lag2,1993-03-01,2026-04-01,398,-0.03340909040530682,,,-0.7580274206926974,0.44888429707043676,0.002919287698480824,0.0021684098888567604,-0.018986125022670386,0.4371859296482412,0.0003604729433763776,0.14279876066662645,0.7057168342398914
Unemployment_diff1_lag2,1993-03-01,2026-04-01,398,-0.0336430183193579,,,-2.7553837169985407,0.0061323111276707426,0.0029196180924391133,0.002173376284027699,-0.1463244605441824,0.4472361809045226,0.02141084775354596,8.66420365578392,0.003436322167937683
Yield10Y_diff1,1993-03-01,2026-04-01,398,-0.046051174387161664,,,-0.955816842607744,0.33974643110290725,0.0029370897939238784,0.0021871980218546574,-0.0808041222076485,0.4321608040201005,0.0065293061657486495,2.6025984034390275,0.10748523467021266
