Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,4
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.08255263362916998
AR_CW_stat,2.922747326856074
AR_CW_p,0.0018327943287378846
AR_DM_stat,1.1878903198896982
AR_DM_p,0.23557798067079214
AR_RMSE,0.002709273567066932
AR_MAE,0.0019013601053140938
AR_Cor,0.30052791156596104
AR_HitRate,0.5732009925558312
AR_NumObs,403
VARX_R2_OOS,-0.02527755773394036
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-0.29146474380520554
VARX_DM_p,0.7708462388520303
VARX_RMSE,0.0028640658983520553
VARX_MAE,0.0020148159187652307
VARX_Cor,0.30304412675802994
VARX_HitRate,0.5607940446650124
VARX_NumObs,403
