Step,Action,Predictor,Metric
1,ADD,CPI_pct1_diff1_lag1,0.003333640116144059
2,ADD,DXY_Datastream_pct1,0.00333009086572379
3,ADD,M2MoneySupply_pct1_lag1,0.0033248541225997376
