Step,Action,Predictor,Metric
1,ADD,CoreCPI_pct1_diff1_lag1,0.0018121299856210667
2,ADD,Housing_pct3_lag3,0.001476103148524447
3,ADD,CPI_pct1_diff1_lag1,0.001364314996513198
4,ADD,CapacityUtilization_diff3_lag2,0.0012677871191658155
5,ADD,Payroll_pct1_lag2,0.0012490397259925273
6,ADD,M2MoneySupply_pct1_lag1,0.0012354970478995059
7,ADD,Yield10Y_diff1,0.0012320351446130343
8,ADD,T10Y3M_diff1,0.0012287635046425915
