Term,Coef,t_stat,p_value
Intercept,-0.0002057375738769645,-0.8648531875499366,0.38805293929734386
AR_y(t-1),0.016443611260949276,0.1366528360150704,0.8914290556242572
AR_y(t-2),-0.022493489407577793,-0.24559473710005275,0.8062228597828279
AR_y(t-3),-0.05067318824930082,-0.45340481213093636,0.6507001414141667
AR_y(t-4),-0.08743658786134104,-0.6482037896809086,0.517523017354563
AR_y(t-5),0.08895802547850597,0.6236306140336434,0.5335104295466805
AR_y(t-6),-0.033262864195815985,-0.21917238049142831,0.8267171437510021
AR_y(t-7),-0.014419935740394567,-0.10037170421373544,0.9201398181107747
AR_y(t-8),-0.04522112611457315,-0.3483748162200314,0.7278888515981332
AR_y(t-9),-0.003931188960627155,-0.03519410973335934,0.9719565832737509
AR_y(t-10),0.03246493547269037,0.3567022694985083,0.7216535091157348
AR_y(t-11),0.6805818988650203,9.95234766299463,1.5671905654458518e-19
CapacityUtilization_diff3_lag2,-0.0001325113548687694,-1.0862322494834808,0.2785542949514779
CoreCPI_pct1_diff1_lag1,0.0026483688110925745,0.030502468158141064,0.9756937292348331
GBP_pct1,-0.009037555079215167,-0.912279995559593,0.36261094563054064
RiskFreeRate_diff1,0.0006123266484130107,1.8657295662038615,0.06339821346527563
Housing_pct3_lag3,0.0014707402800785301,1.0366410684103449,0.3010309927279662
M2MoneySupply_pct1_lag1,0.030652468325681827,1.83848549901549,0.06732684292579948
Payroll_pct1_lag2,-0.0006743297056719178,-0.004528683872077239,0.9963907122532909
T10Y3M_diff1,-0.000548224967697936,-0.47753792592458305,0.6334489412208042
TradeSales_pct1_lag2,0.015376402828576583,0.9825139508540511,0.32691625754683984
Unemployment_diff1_lag2,-0.002136751370589579,-0.9586970123267154,0.33875432286552754
Yield10Y_diff1,-0.00030726761942352767,-0.2171255758963423,0.8283098953594792
