Step,Action,Predictor,Metric
1,ADD,CPI_pct1_diff1_lag1,0.003607854606424329
2,ADD,DXY_Datastream_pct1,0.003588411399835721
3,ADD,M2MoneySupply_pct1_lag1,0.003566781862818589
4,ADD,Housing_pct1_lag1,0.003562543911426444
5,ADD,T10Y3M_diff1,0.003562310448688638
6,ADD,Yield10Y_diff1,0.0035576394300124298
