Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,7
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.03958885172115534
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-0.8795628310708117
AR_DM_p,0.38079755114228253
AR_RMSE,0.0025281415320124426
AR_MAE,0.002044418302155063
AR_Cor,0.011573811834547174
AR_HitRate,0.52
AR_NumObs,125
VARX_R2_OOS,-0.17762225001055287
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-2.622587234918055
VARX_DM_p,0.009820505473887638
VARX_RMSE,0.0026907514176478906
VARX_MAE,0.0021403987565790606
VARX_Cor,-0.08556703115486947
VARX_HitRate,0.504
VARX_NumObs,125
