Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,1
NumPredictors,11
MinInSample,120
AR_R2_OOS,0.05902134577417506
AR_CW_stat,3.6613536485089693
AR_CW_p,0.00014206657642351755
AR_DM_stat,1.5130281330861324
AR_DM_p,0.13105244723053686
AR_RMSE,0.003333640116144059
AR_MAE,0.0024846235760901665
AR_Cor,0.238081308365149
AR_HitRate,0.5541871921182266
AR_NumObs,406
VARX_R2_OOS,-0.21420546595806034
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-1.186286418935509
VARX_DM_p,0.23620465801819857
VARX_RMSE,0.0037868222447029866
VARX_MAE,0.002699122355608991
VARX_Cor,0.1928858432845111
VARX_HitRate,0.541871921182266
VARX_NumObs,406
