Term,Coef,t_stat,p_value
Intercept,-2.837624352287106e-05,-0.08323034149251174,0.9337401554708421
AR_y(t-1),-0.23121987838703903,-1.4474568802084595,0.14911891528653418
CapacityUtilization_diff3_lag2,-0.00020590098349574287,-1.193866574988495,0.23374945864808028
CoreCPI_pct1_diff1_lag1,0.26006985993236653,2.176782998629587,0.03050574181974971
GBP_pct1,0.00811116544487669,0.5687010037535142,0.5701091565241305
RiskFreeRate_diff1,0.0013538095554962058,2.836581188692598,0.00496311849995143
Housing_pct3_lag3,0.003419424482699523,1.9711211521348575,0.04989869441146896
M2MoneySupply_pct1_lag1,0.011222995675296183,0.4873075237966866,0.6265005422134224
Payroll_pct1_lag2,-0.07971425503388999,-0.3709491972594797,0.7110138677954769
T10Y3M_diff1,0.00040250083816296695,0.24723206341597992,0.8049472795386252
TradeSales_pct1_lag2,0.0012869158160749789,0.056109832167609536,0.9553026035153792
Unemployment_diff1_lag2,0.0003093010444399984,0.0955781127499782,0.9239381539399126
Yield10Y_diff1,-0.0009379274179878719,-0.4773623360635304,0.6335535230555598
