Step,Action,Predictor,Metric
1,ADD,CPI_adj_pct1_diff1_lag1,0.0027074387163451862
2,ADD,M2MoneySupply_pct1_lag1,0.0026926475546789445
3,ADD,T10Y3M_diff1,0.0026857430675337086
