Step,Action,Predictor,Metric
1,ADD,CoreCPI_pct1_diff1_lag1,0.001817374630830917
2,ADD,Housing_pct3_lag3,0.0014849757134863886
3,ADD,CPI_pct1_diff1_lag1,0.001372296166664721
4,ADD,CapacityUtilization_diff3_lag2,0.0012769954100944653
5,ADD,Payroll_pct1_lag2,0.0012606571743291784
6,ADD,M2MoneySupply_pct1_lag1,0.0012468904028316206
7,ADD,Yield10Y_diff1,0.0012430236258579232
8,ADD,T10Y3M_diff1,0.0012402592599257546
