Step,Action,Predictor,Metric
1,ADD,CPI_adj_pct1_diff1_lag1,0.0026858109207006232
2,ADD,M2MoneySupply_pct1_lag1,0.0026547400851868945
3,ADD,DXY_Datastream_pct1,0.0026433179095796976
4,ADD,T10Y3M_diff1,0.0026383539288159417
5,ADD,Yield10Y_diff1,0.0026332557272989434
