Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,6
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.019463466733428136
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-0.49722804604113674
AR_DM_p,0.619908750576339
AR_RMSE,0.002503550810525255
AR_MAE,0.0020294726145177965
AR_Cor,0.04508733785280604
AR_HitRate,0.56
AR_NumObs,125
VARX_R2_OOS,-0.15686352693465522
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-2.3690916597105085
VARX_DM_p,0.01937582720160867
VARX_RMSE,0.00266693014880527
VARX_MAE,0.002127461602376483
VARX_Cor,-0.06282632437770404
VARX_HitRate,0.504
VARX_NumObs,125
