"""Month"",""Index"""
"1965 OCT,""49.2"""
"1965 NOV,""49.5"""
"1965 DEC,""49.8"""
"1966 JAN,""50.0"""
"1966 FEB,""50.1"""
"1966 MAR,""50.0"""
"1966 APR,""49.9"""
"1966 MAY,""50.0"""
"1966 JUN,""50.2"""
"1966 JUL,""50.3"""
"1966 AUG,""50.3"""
"1966 SEP,""49.8"""
"1966 OCT,""49.1"""
"1966 NOV,""48.7"""
"1966 DEC,""48.7"""
"1967 JAN,""49.1"""
"1967 FEB,""49.6"""
"1967 MAR,""49.9"""
"1967 APR,""50.0"""
"1967 MAY,""50.1"""
"1967 JUN,""50.0"""
"1967 JUL,""49.9"""
"1967 AUG,""49.9"""
"1967 SEP,""50.0"""
"1967 OCT,""50.4"""
"1967 NOV,""51.0"""
"1967 DEC,""51.8"""
"1968 JAN,""52.4"""
"1968 FEB,""53.1"""
"1968 MAR,""53.5"""
"1968 APR,""53.3"""
"1968 MAY,""53.8"""
"1968 JUN,""53.9"""
"1968 JUL,""53.9"""
"1968 AUG,""54.3"""
"1968 SEP,""54.2"""
"1968 OCT,""53.8"""
"1968 NOV,""54.2"""
"1968 DEC,""54.8"""
"1969 JAN,""54.9"""
"1969 FEB,""55.2"""
"1969 MAR,""55.1"""
"1969 APR,""56.0"""
"1969 MAY,""56.0"""
"1969 JUN,""56.4"""
"1969 JUL,""56.2"""
"1969 AUG,""55.4"""
"1969 SEP,""55.5"""
"1969 OCT,""54.6"""
"1969 NOV,""55.7"""
"1969 DEC,""56.2"""
"1970 JAN,""54.8"""
"1970 FEB,""55.8"""
"1970 MAR,""56.4"""
"1970 APR,""56.1"""
"1970 MAY,""55.6"""
"1970 JUN,""55.7"""
"1970 JUL,""56.0"""
"1970 AUG,""56.0"""
"1970 SEP,""55.8"""
"1970 OCT,""56.6"""
"1970 NOV,""55.7"""
"1970 DEC,""56.3"""
"1971 JAN,""56.6"""
"1971 FEB,""55.5"""
"1971 MAR,""54.8"""
"1971 APR,""55.6"""
"1971 MAY,""55.9"""
"1971 JUN,""55.7"""
"1971 JUL,""55.5"""
"1971 AUG,""55.8"""
"1971 SEP,""55.3"""
"1971 OCT,""55.4"""
"1971 NOV,""55.3"""
"1971 DEC,""55.6"""
"1972 JAN,""54.0"""
"1972 FEB,""49.7"""
"1972 MAR,""54.6"""
"1972 APR,""56.0"""
"1972 MAY,""57.1"""
"1972 JUN,""57.4"""
"1972 JUL,""56.7"""
"1972 AUG,""57.3"""
"1972 SEP,""58.1"""
"1972 OCT,""58.8"""
"1972 NOV,""59.3"""
"1972 DEC,""59.8"""
"1973 JAN,""61.6"""
"1973 FEB,""61.1"""
"1973 MAR,""61.8"""
"1973 APR,""61.2"""
"1973 MAY,""61.2"""
"1973 JUN,""62.4"""
"1973 JUL,""62.1"""
"1973 AUG,""62.1"""
"1973 SEP,""61.8"""
"1973 OCT,""62.4"""
"1973 NOV,""61.7"""
"1973 DEC,""61.1"""
"1974 JAN,""56.7"""
"1974 FEB,""56.7"""
"1974 MAR,""58.6"""
"1974 APR,""61.8"""
"1974 MAY,""62.4"""
"1974 JUN,""62.7"""
"1974 JUL,""62.4"""
"1974 AUG,""62.6"""
"1974 SEP,""61.6"""
"1974 OCT,""60.3"""
"1974 NOV,""60.2"""
"1974 DEC,""59.2"""
"1975 JAN,""59.7"""
"1975 FEB,""59.3"""
"1975 MAR,""58.1"""
"1975 APR,""57.2"""
"1975 MAY,""56.3"""
"1975 JUN,""56.8"""
"1975 JUL,""56.0"""
"1975 AUG,""55.3"""
"1975 SEP,""56.3"""
"1975 OCT,""57.0"""
"1975 NOV,""57.1"""
"1975 DEC,""56.8"""
"1976 JAN,""57.2"""
"1976 FEB,""57.9"""
"1976 MAR,""58.1"""
"1976 APR,""58.5"""
"1976 MAY,""59.4"""
"1976 JUN,""58.2"""
"1976 JUL,""58.4"""
"1976 AUG,""58.3"""
"1976 SEP,""59.3"""
"1976 OCT,""60.6"""
"1976 NOV,""61.1"""
"1976 DEC,""61.5"""
"1977 JAN,""62.6"""
"1977 FEB,""62.4"""
"1977 MAR,""62.4"""
"1977 APR,""61.9"""
"1977 MAY,""63.5"""
"1977 JUN,""61.0"""
