observation_date,IR3TTS01GBM156N
1960-01-01,4.5400
1960-02-01,4.5500
1960-03-01,4.6200
1960-04-01,4.6500
1960-05-01,4.5600
1960-06-01,5.6800
1960-07-01,5.5500
1960-08-01,5.5900
1960-09-01,5.5700
1960-10-01,5.0900
1960-11-01,4.6400
1960-12-01,4.3500
1961-01-01,4.1700
1961-02-01,4.4000
1961-03-01,4.4900
1961-04-01,4.4100
1961-05-01,4.4400
1961-06-01,4.5400
1961-07-01,6.6900
1961-08-01,6.7000
1961-09-01,6.5500
1961-10-01,5.7300
1961-11-01,5.3900
1961-12-01,5.4000
1962-01-01,5.2400
1962-02-01,5.5300
1962-03-01,4.4100
1962-04-01,4.0500
1962-05-01,3.8200
1962-06-01,3.9200
1962-07-01,3.8900
1962-08-01,3.7500
1962-09-01,3.6400
1962-10-01,3.8600
1962-11-01,3.6900
1962-12-01,3.7200
1963-01-01,3.4900
1963-02-01,3.4300
1963-03-01,3.7600
1963-04-01,3.7100
1963-05-01,3.6400
1963-06-01,3.7000
1963-07-01,3.7600
1963-08-01,3.7200
1963-09-01,3.6700
1963-10-01,3.7400
1963-11-01,3.7400
1963-12-01,3.7200
1964-01-01,3.7600
1964-02-01,4.3100
1964-03-01,4.3000
1964-04-01,4.3000
1964-05-01,4.3800
1964-06-01,4.4600
1964-07-01,4.6500
1964-08-01,4.6600
1964-09-01,4.6500
1964-10-01,4.7000
1964-11-01,6.6300
1964-12-01,6.6300
1965-01-01,6.5400
1965-02-01,6.4400
1965-03-01,6.5500
1965-04-01,6.3800
1965-05-01,6.3600
1965-06-01,5.5400
1965-07-01,5.6300
1965-08-01,5.5600
1965-09-01,5.4900
1965-10-01,5.4400
1965-11-01,5.4000
1965-12-01,5.5200
1966-01-01,5.4800
1966-02-01,5.6200
1966-03-01,5.6000
1966-04-01,5.6400
1966-05-01,5.6600
1966-06-01,5.7300
1966-07-01,6.6800
1966-08-01,6.7300
1966-09-01,6.7500
1966-10-01,6.5100
1966-11-01,6.7400
1966-12-01,6.5300
1967-01-01,6.0800
1967-02-01,6.0400
1967-03-01,5.5000
1967-04-01,5.4100
1967-05-01,5.2500
1967-06-01,5.2800
1967-07-01,5.3500
1967-08-01,5.2900
1967-09-01,5.4800
