csv,lag_months,rescale1,change_type1,rescale2,change_type2,rescale3,change_type3
CPI.csv,0,-1,pct,1,diff,,
CPI.csv,1,1,pct,,,,
CapacityUtilization.csv,1,1,diff,,,,
CoreCPI.csv,1,1,pct,,,,
DXY_Datastream.csv,0,1,pct,,,,
FedFundsRate.csv,0,1,diff,,,,
Housing.csv,1,1,pct,,,,
M2MoneySupply.csv,1,1,pct,,,,
Payroll.csv,1,1,pct,,,,
T10Y3M.csv,0,1,diff,,,,
TradeSales.csv,2,1,pct,,,,
Unemployment.csv,1,1,diff,,,,
