Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,VARX_R2_OOS,VARX_CW_stat,VARX_CW_p,VARX_DM_stat,VARX_DM_p,VARX_RMSE,VARX_MAE,VARX_Cor,VARX_HitRate,AR_R2_OOS,AR_RMSE,AR_CW_p
CapacityUtilization_diff1_lag1,1977-04-01,2026-04-01,584,0.05169747460190355,3.6110549455216954,0.0001656135558834997,1.1979206707095413,0.2314346799805742,0.0026376007549782647,0.0018686717718155227,0.23859234643053417,0.5684931506849316,0.06033371764812201,0.0026255628976550537,0.0001779934042190594
CoreCPI_adj_pct1_diff1_lag1,1967-05-01,2026-04-01,703,0.029253178185694062,4.07070415866099,2.610063390617711e-05,0.8129785289043636,0.41650599596966775,0.002765203368522484,0.0019466191227741126,0.21365388652869496,0.5391180654338549,0.047642633779829024,0.0027388866630208906,9.168290486135333e-05
DXY_Datastream_pct1,1981-03-01,2026-04-01,537,0.05475685039547462,3.490299954996432,0.00026110914768345643,1.210976461867825,0.22643809140019003,0.002673931111925842,0.0018926167523168342,0.2382469818744003,0.5772811918063314,0.0649434509328023,0.0026594840086222194,0.00019507622137058243
FedFundsRate_diff1,1964-09-01,2026-04-01,735,0.019532114184582117,3.7284346878118053,0.00010375308719729262,0.592876008056484,0.5534467504621243,0.0027583795797848374,0.0019177670817119316,0.1829320855938748,0.5360544217687074,0.04456723416113684,0.0027229358376770225,9.474203139073136e-05
Housing_pct1_lag1,1969-04-01,2026-04-01,680,0.033578716887549764,3.4686449936266746,0.00027806334513945813,1.0411767598341373,0.2981640982589059,0.0027662076978794974,0.0019036756840759678,0.1916988254182433,0.5470588235294118,0.048709347017956595,0.0027444679124289015,0.00010882468892587254
M2MoneySupply_pct1_lag1,1969-04-01,2026-04-01,680,0.05404489866545914,3.7968786103569765,7.982247174480885e-05,1.511317762253341,0.1311727479185489,0.002736760572609731,0.0018908642913031907,0.23910633657904212,0.5485294117647059,0.048709347017956595,0.0027444679124289015,0.00010882468892587254
Payroll_pct1_lag1,1957-05-01,2026-04-01,823,-0.4370604611051525,,,-0.9409485579204359,0.34700765411189183,0.00325954162157129,0.0019371976510432374,0.13305872812388542,0.5309842041312273,0.040205984549024354,0.0026638393474512196,0.00010156128046657112
T10Y3M_diff1,1992-03-01,2026-04-01,405,0.09397997749280051,3.496765380513258,0.00026159794316520655,1.6639170392489064,0.09690442067213187,0.0027025608226418575,0.0018975630412887603,0.3012103429804352,0.5580246913580247,0.09070644691393615,0.0027074387163451862,0.00014170427491753715
TradeSales_pct1_lag2,1977-05-01,2026-04-01,583,0.043736093508172424,3.485526244850639,0.0002640796706783756,1.1299588879796023,0.258959018664652,0.002650117793603037,0.0018745940987312918,0.21504746132538785,0.5660377358490566,0.059858625962176726,0.002627682440767918,0.00018948978230674165
Unemployment_diff1_lag1,1958-04-01,2026-04-01,812,0.005045684040394405,3.1368818171985526,0.0008846054284919026,0.13606497787421803,0.8918036799668039,0.002716088627816806,0.0018790415045547148,0.18565114335311492,0.5480295566502463,0.04221214158942854,0.0026648761541625487,8.479457501149837e-05
Yield10Y_diff1,1972-03-01,2026-04-01,645,0.0410167315636244,3.6427402833454834,0.00014572795330962645,1.1870334189098677,0.23565211235922653,0.0028019780716136327,0.0019485497735514785,0.2084246465803801,0.5534883720930233,0.05221286500658939,0.0027855734976519795,8.522557056425353e-05
