Step,Action,Predictor,Metric
1,ADD,CPI_adj_pct1_diff1_lag1,0.00293489926318627
2,ADD,M2MoneySupply_pct1_lag1,0.0028993003111891374
3,ADD,DXY_Datastream_pct1,0.00288675218146431
4,ADD,T10Y3M_diff1,0.0028804839010418
5,ADD,Yield10Y_diff1,0.0028736526673479087
