Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,12
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.0996957981600819
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-1.4811199710980987
AR_DM_p,0.1411111956906174
AR_RMSE,0.0026002006305466006
AR_MAE,0.0020988884253620543
AR_Cor,0.045173789042147576
AR_HitRate,0.496
AR_NumObs,125
VARX_R2_OOS,-0.22541210227371034
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-2.5827689053864837
VARX_DM_p,0.010962283522964633
VARX_RMSE,0.002744806029204248
VARX_MAE,0.0021776522232872728
VARX_Cor,-0.03066787284650314
VARX_HitRate,0.528
VARX_NumObs,125
