Step,Action,Predictor,Metric
1,ADD,CPI_pct1_diff1_lag1,0.00360948311493616
2,ADD,M2MoneySupply_pct1_lag1,0.003591800528171845
3,ADD,DXY_Datastream_pct1,0.0035745103728277655
