Step,Action,Predictor,Metric
1,ADD,M2MoneySupply_pct1_lag1,0.0017033250268431576
2,ADD,Housing_pct3_lag3,0.0016814301630837026
3,ADD,Unemployment_diff1_lag2,0.0016713162826924165
4,ADD,GBP_pct1,0.0016641344285520953
5,ADD,T10Y3M_diff1,0.0016584460580272879
6,ADD,Yield10Y_diff1,0.0016543887630298961
7,ADD,CPI_adj_pct1_diff1_lag1,0.0016539553539454868
