Key,Value
Mode,oos
WindowType,rolling
ReportLag,1
NumLags,9
NumPredictors,11
MinInSample,120
AR_R2_OOS,-0.049897799672396825
AR_CW_stat,
AR_CW_p,
AR_DM_stat,-0.9737140279583126
AR_DM_p,0.3320942170827228
AR_RMSE,0.0025406456034575585
AR_MAE,0.002048193006681501
AR_Cor,0.02694646125827383
AR_HitRate,0.512
AR_NumObs,125
VARX_R2_OOS,-0.18146064753126634
VARX_CW_stat,
VARX_CW_p,
VARX_DM_stat,-2.5605956313662515
VARX_DM_p,0.01164861091401914
VARX_RMSE,0.0026951330312018733
VARX_MAE,0.002141453337595002
VARX_Cor,-0.07291777204430266
VARX_HitRate,0.472
VARX_NumObs,125
