Key,Value
Method,PLS
Mode,oos
WindowType,rolling
NumComp,3
TimeLag,1
MinInSample,120
OOS_Beg,1992-02-01
OOS_End,2026-04-01
Num_OOS_Obs,406
R2_OOS,-0.22921255866736812
CW_stat,
CW_p,
DM_stat,-0.9231973491074966
DM_p,0.3564540412644476
RMSE,0.003145325432068246
MAE,0.0020501357396330634
Cor,0.24457194126549392
HitRate,0.5689655172413793
R2_MZ,0.059815434454371874
F_MZ,25.702863464411426
p_MZ,6.076938659591545e-07
