Key,Value
Metric,RMSE
WindowType,rolling
TrainObs,120
ValFrac,0.5
TimeLag,1
Num_OOS_Obs,404
Avg_NumSelected,3.9653
OOS_Beg,1992-03-01
OOS_End,2026-03-01
R2_OOS,-0.648188
R2_OOS_CT,-0.560086
CW_stat,NaN
CW_p,NaN
CW_stat_CT,NaN
CW_p_CT,NaN
DM_stat,-1.2468
DM_p,0.2132
RMSE,0.003648
MAE,0.002178
Cor,-0.036168
HitRate,0.507426
R2_MZ,0.001308
F_MZ,0.5266
p_MZ,0.4685
