Key,Value
WindowType,expanding
TrainObs,239
TimeLag,1
NumPredictors,11
Predictors,CPI_pct1_lag1; CapacityUtilization_diff1_lag1; CoreCPI_pct1_lag1; DXY_Datastream_pct1; FedFundsRate_diff1; Housing_pct1_lag1; M2MoneySupply_pct1_lag1; Payroll_pct1_lag1; T10Y3M_diff1; TradeSales_pct1_lag2; Unemployment_diff1_lag1
OOS_Beg,2002-02-01
OOS_End,2026-03-01
Num_OOS_Obs,285
R2_OOS,-0.03314385754258864
R2_OOS_CT,-0.010788461442579722
CW_stat,
CW_p,
CW_stat_CT,
CW_p_CT,
DM_stat,-1.804691771559639
DM_p,0.07218212485161
RMSE,0.003145718089153212
MAE,0.0022060985599625716
Cor,-0.06025059061994127
HitRate,0.47368421052631576
R2_MZ,0.0036301336700517543
F_MZ,1.0310707532823422
p_MZ,0.3107746341604461
