Predictor,TimesSelected,FracOrigins
CoreCPI_pct1_lag1,151,0.3254310344827586
DXY_Datastream_pct1,146,0.3146551724137931
TradeSales_pct1_lag2,137,0.2952586206896552
Housing_pct1_lag1,131,0.2823275862068966
M2MoneySupply_pct1_lag1,130,0.2801724137931034
CPI_pct1_lag1,126,0.27155172413793105
FedFundsRate_diff1,123,0.2650862068965517
Unemployment_diff1_lag1,110,0.23706896551724138
CapacityUtilization_diff1_lag1,105,0.22629310344827586
T10Y3M_diff1,105,0.22629310344827586
Payroll_pct1_lag1,70,0.15086206896551724
