Key,Value
Method,PLS
NumComponents,3
Standardize,True
WindowType,rolling
TrainObs,120
TimeLag,1
NumPredictors,11
OOS_Beg,1992-03-01
OOS_End,2025-08-01
Num_OOS_Obs,402
R2_OOS,-0.5286365752459916
R2_OOS_CT,-0.4219518119496881
CW_stat,
CW_p,
CW_stat_CT,
CW_p_CT,
DM_stat,-1.538603436539752
DM_p,0.12468981696106284
RMSE,0.0035003614875147773
MAE,0.0022172164785651807
Cor,-0.052339316232095784
HitRate,0.5174129353233831
R2_MZ,0.0027394040236433247
F_MZ,1.0987715887686678
p_MZ,0.29516878959746906
