Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1967-03-01,2026-03-01,704,-0.015274925727646549,-0.002589358894907079,,,,,-1.666454168587325,0.09606843496326713,0.002822984267205063,0.0019686374096140862,-0.032846988223510586,0.4943181818181818,0.0010789246353554432,0.7582231596655813,0.3841828193803368
CapacityUtilization_diff1_lag1,1987-03-01,2026-03-01,466,-0.01319308723847179,-0.004186406455295888,,,,,-1.9479322244130688,0.052024409847408255,0.0027713228894873667,0.0019473006738842844,-0.10263072901095732,0.48283261802575106,0.010533066537320557,4.939369581773981,0.026732926069474146
CoreCPI_pct1_lag1,1977-03-01,2026-03-01,584,-0.012092370577692302,-0.003498213858638355,,,,,-1.4586310804013982,0.1452051947106974,0.002719522104311507,0.0019342513024634804,-0.036571185785478806,0.4195205479452055,0.001337451629756007,0.779439310894648,0.3776771822607331
DXY_Datastream_pct1,1991-02-01,2026-03-01,419,0.0008383026191164378,0.001121657775585816,1.0039137985132118,0.15800047743432155,0.848226856165759,0.19839855015589092,0.09438804734671238,0.9248461382293927,0.0027990355650806173,0.0019549563946327847,0.026446774299211787,0.5178997613365155,0.0006994318708334492,0.2918672313812283,0.5893148507715593
FedFundsRate_diff1,1974-08-01,2026-03-01,617,-0.004669769299560533,0.009206544063176225,,,1.7464265066606943,0.04061765599623535,-0.2781003656849498,0.7810286331291286,0.0027070392899583504,0.0019246145514723537,0.025435905888240757,0.5008103727714749,0.0006469853083554408,0.39815356414506725,0.5282788013541928
Housing_pct1_lag1,1979-03-01,2026-03-01,562,-0.004462726627135982,-0.0023210953623811204,,,,,-0.8427522190442728,0.39972618678435634,0.0027384829137869294,0.0019319420930439565,-0.03884947313143661,0.5177935943060499,0.0015092815625902148,0.8464752445302789,0.35794753159074755
M2MoneySupply_pct1_lag1,1979-03-01,2026-03-01,562,-0.00789337232038756,-0.006826412801601123,,,,,-1.0677881233402908,0.2860753627508669,0.0027431554398580976,0.001942027386480701,-0.02089516694805091,0.4804270462633452,0.0004366080017869188,0.2446072784957611,0.6210920853212132
Payroll_pct1_lag1,1967-01-01,2026-03-01,708,-0.11553543644736619,-0.11210851402224975,,,,,-1.0394698396616633,0.2989416270365304,0.0029572840211483866,0.0019707034748899822,-0.006595024014176247,0.4788135593220339,4.3494341747561376e-05,0.030708340912852492,0.860942906809619
T10Y3M_diff1,2002-02-01,2026-03-01,287,-0.006440495369517851,-0.003040395026964182,,,,,-1.551640629432459,0.12185408142567178,0.0030969752929557166,0.0021657875403473543,-0.1941905524914334,0.5121951219512195,0.03770997067692817,11.168505664019822,0.0009430927367976397
TradeSales_pct1_lag2,1987-04-01,2026-03-01,465,-0.014322573268233718,-0.01427958076692426,,,,,-1.550137845070082,0.12179020326066872,0.0027755454609325295,0.001963137705756103,-0.05545812515083638,0.4666666666666667,0.00307560364524583,1.4283976728382612,0.23263792968534677
Unemployment_diff1_lag1,1968-03-01,2026-03-01,692,-0.0054847352199349775,0.0010136897028802938,,,1.0726590288270859,0.14189929666967394,-0.7834049609265176,0.43365776640689224,0.0028124767678167216,0.0019484743622725314,-0.04883727480417966,0.4667630057803468,0.00238507941029896,1.6496393138682093,0.19943908280134487
