Predictor,TimesSelected,FracOrigins
CoreCPI_pct1_lag1,243,0.8496503496503497
Yield10Y_diff1,120,0.4195804195804196
CPI_pct1_lag1,108,0.3776223776223776
M2MoneySupply_pct1_lag1,96,0.3356643356643357
Housing_pct1_lag1,93,0.32517482517482516
TradeSales_pct1_lag2,86,0.3006993006993007
T10Y3M_diff1,82,0.2867132867132867
Payroll_pct1_lag1,72,0.2517482517482518
DXY_Datastream_pct1,68,0.23776223776223776
FedFundsRate_diff1,58,0.20279720279720279
CapacityUtilization_diff1_lag1,35,0.12237762237762238
Unemployment_diff1_lag1,12,0.04195804195804196
