Predictor,TimesSelected,FracOrigins
M2MoneySupply_pct12_lag1,135,0.30269058295964124
T10Y3M_diff12,111,0.24887892376681614
DXY_Datastream_pct12,104,0.23318385650224216
TradeSales_pct12_lag2,91,0.2040358744394619
Housing_pct12_lag1,89,0.19955156950672645
CoreCPI_pct12_lag1,83,0.1860986547085202
CPI_pct12_lag1,75,0.1681614349775785
Unemployment_pct12_lag1,71,0.1591928251121076
CapcacityUtilization_pct12_lag1,62,0.13901345291479822
FedFundsRate_pct12,54,0.1210762331838565
Payroll_pct12_lag1,29,0.06502242152466367
