Predictor,TimesSelected,FracOrigins
DXY_Datastream_pct1,206,0.44396551724137934
T10Y3M_diff1,185,0.39870689655172414
TradeSales_pct1_lag2,180,0.3879310344827586
CoreCPI_pct1_lag1,176,0.3793103448275862
FedFundsRate_diff1,166,0.3577586206896552
CPI_pct1_lag1,161,0.34698275862068967
M2MoneySupply_pct1_lag1,158,0.34051724137931033
Unemployment_diff1_lag1,155,0.33405172413793105
Housing_pct1_lag1,151,0.3254310344827586
Payroll_pct1_lag1,140,0.3017241379310345
CapacityUtilization_diff1_lag1,124,0.2672413793103448
