Predictor,TimesSelected,FracOrigins
CoreCPI_pct1_diff1_lag1,106,0.572972972972973
Housing_pct3_lag3,71,0.3837837837837838
DXY_pct1,52,0.2810810810810811
CPI_pct1_diff1_lag1,47,0.25405405405405407
FedFundsRate_diff1,45,0.24324324324324326
CapacityUtilization_diff3_lag2,33,0.1783783783783784
Yield10Y_diff1,32,0.17297297297297298
Payroll_pct1_lag2,30,0.16216216216216217
M2MoneySupply_pct1_lag1,27,0.14594594594594595
T10Y3M_diff1,27,0.14594594594594595
TradeSales_pct1_lag2,19,0.10270270270270271
Unemployment_diff1_lag2,15,0.08108108108108109
