Predictor,TimesSelected,FracOrigins
CPI_pct12_lag1,186,0.4170403587443946
DXY_Datastream_pct12,126,0.2825112107623318
Housing_pct12_lag1,88,0.19730941704035873
CoreCPI_pct12_lag1,80,0.17937219730941703
M2MoneySupply_pct12_lag1,80,0.17937219730941703
CapcacityUtilization_diff12_lag1,77,0.1726457399103139
T10Y3M_diff12,75,0.1681614349775785
TradeSales_pct12_lag2,63,0.1412556053811659
Unemployment_diff12_lag1,50,0.11210762331838565
FedFundsRate_diff12,37,0.08295964125560538
Payroll_pct12_lag1,34,0.07623318385650224
