Predictor,TimesSelected,FracOrigins
DXY_Datastream_pct1,196,0.48514851485148514
T10Y3M_diff1,120,0.297029702970297
TradeSales_pct1_lag2,119,0.29455445544554454
CoreCPI_pct1_lag1,113,0.27970297029702973
CPI_pct1_lag1,99,0.24504950495049505
FedFundsRate_diff1,92,0.22772277227722773
Housing_pct1_lag1,74,0.18316831683168316
Unemployment_diff1_lag1,69,0.1707920792079208
CapacityUtilization_diff1_lag1,59,0.14603960396039603
M2MoneySupply_pct1_lag1,51,0.12623762376237624
Payroll_pct1_lag1,21,0.05198019801980198
