Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1957-04-01,2025-08-01,821,-0.018439726261463285,-0.0016210996677656908,,,,,-1.4785415631008971,0.13964689172833405,0.002738168371575165,0.0019248224834473389,-0.003930176804969687,0.5030450669914738,1.5446289718321735e-05,0.012650706685786111,0.9104740666199369
CapacityUtilization_diff1_lag1,1977-04-01,2025-08-01,581,-0.030804047569979565,-0.005235467220370049,,,,,-1.991809594655248,0.04686041063038471,0.0027430906784934187,0.001928975833013657,-0.17064164570796592,0.46815834767641995,0.029118571249922953,17.365305643358205,3.555099391532854e-05
CoreCPI_pct1_lag1,1967-04-01,2025-08-01,701,-0.014654544880232434,-0.00598850017435848,,,,,-2.0150053685386196,0.04428592016309113,0.0028206724025457174,0.0019657636179744114,-0.047723264937472414,0.4764621968616263,0.002277510016292185,1.5956135271785177,0.206947117777529
DXY_Datastream_pct1,1981-03-01,2025-08-01,534,-0.004144745918657433,-0.0028302892033442717,,,,,-0.34612831946593764,0.729382867016879,0.0027478329662126454,0.001946668758003954,-0.008189518342052542,0.5056179775280899,6.706821067481502e-05,0.03568268125258528,0.8502443299882334
FedFundsRate_diff1,1964-09-01,2025-08-01,732,-0.03649150064305928,-0.010854810615100963,,,,,-1.9004616732902673,0.05776571156322635,0.002831756884266465,0.0019644612459906673,-0.08561880764782155,0.4713114754098361,0.007330580223034663,5.3908415593356835,0.02051702166842941
Housing_pct1_lag1,1969-04-01,2025-08-01,677,-0.009248506212534702,-0.004285377637726295,,,,,-1.1389879383013157,0.25511163877774184,0.0028201323272056427,0.0019538648677671984,-0.03215383832356147,0.4918759231905465,0.0010338693189377306,0.6985840348833338,0.4035556465906516
M2MoneySupply_pct1_lag1,1969-04-01,2025-08-01,677,-0.022223446297372718,-0.010801722946057302,,,,,-1.9838051964088068,0.047681635549785654,0.002838202303871824,0.001964362604092018,-0.10670421138823953,0.45790251107828656,0.01138578872798611,7.773919597516295,0.005449827601041093
Payroll_pct1_lag1,1957-02-01,2025-08-01,823,-0.43187784426029574,-0.4301692650393758,,,,,-1.0233991217986784,0.3064202546202018,0.0032445494363252925,0.001955547976832314,-0.005926682498496044,0.49817739975698666,3.5125565437979296e-05,0.028839102214353006,0.8651929084211899
T10Y3M_diff1,1992-03-01,2025-08-01,402,-0.019186872616904438,-0.005027301231799397,,,,,-1.6656566051223731,0.09656279808978006,0.0028581675500828152,0.001990686945406547,-0.13882573267227738,0.44776119402985076,0.01927258405199461,7.860526274108512,0.005298653134335497
TradeSales_pct1_lag2,1977-05-01,2025-08-01,580,-0.01031243580045782,-0.014888487755607915,,,,,-0.6783728397438453,0.4978063516231326,0.002714302711528025,0.0019222798396775374,-0.02145734662508529,0.5120689655172413,0.00046041772418905916,0.26624402805075026,0.6060598344462635
Unemployment_diff1_lag1,1958-04-01,2025-08-01,809,-0.017144580044399893,-0.004537890821042945,,,,,-1.8233266119647906,0.06862328008004358,0.0027390116260221455,0.001910334985421725,-0.07534367619080778,0.44499381953028433,0.005676669541945294,4.607226019970275,0.03213500408559721
