Predictor,TimesSelected,FracOrigins
CPI_pct1_diff1_lag1,267,0.9368421052631579
M2MoneySupply_pct1_lag1,202,0.7087719298245614
T10Y3M_diff1,127,0.4456140350877193
CapacityUtilization_diff1_lag1,126,0.4421052631578947
DXY_Datastream_pct1,116,0.4070175438596491
Housing_pct1_lag1,105,0.3684210526315789
Yield10Y_diff1,92,0.32280701754385965
TradeSales_pct1_lag2,57,0.2
Payroll_pct1_lag1,52,0.1824561403508772
FedFundsRate_diff1,51,0.17894736842105263
Unemployment_diff1_lag1,48,0.16842105263157894
CoreCPI_pct1_diff1_lag1,21,0.07368421052631578
