Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1948-04-01,2025-08-01,929,-0.13814735834774283,-0.07951330784711308,,,,,-2.1163724688793693,0.0345788385153467,0.002927450737189186,0.0019776488714305703,0.5224625779925086,0.8223896663078579,0.27296714540257816,348.04554180471735,3.3828887406671017e-66
CapcacityUtilization_diff1_lag1,1968-04-01,2025-08-01,689,-0.21189205368246355,-0.02750963259745043,,,,,-1.4162395426209375,0.15715795702421972,0.002883030801909187,0.0019363959205185328,0.5599315194371332,0.8737300435413643,0.31352330645917664,313.7623076851706,4.11870502133706e-58
CoreCPI_pct1_lag1,1958-04-01,2025-08-01,809,-0.08766860917157793,-0.07071876916624786,,,,,-2.995019527560215,0.002828064906449373,0.0026097229769103517,0.0018393323612902004,0.5833783601266739,0.8566131025957973,0.34033031106408734,416.33951905800023,6.020583296453427e-75
DXY_Datastream_pct1,1972-03-01,2025-08-01,642,-0.08553330539944515,-0.07683478863107585,,,,,-1.70774204916162,0.08816841625475258,0.0027898257874050284,0.0019734450103648655,0.5774360219956571,0.881619937694704,0.3334323594981689,320.1426188618616,2.3226672070135574e-58
FedFundsRate_diff1,1955-09-01,2025-08-01,840,-0.33873469544038004,-0.2930883610268722,,,,,-3.0991049631981746,0.002005811465542044,0.0028756964925563963,0.0019094661909657812,0.48528988460771083,0.8488095238095238,0.2355062721025652,258.1502618271668,7.694848629969031e-51
Housing_pct1_lag1,1960-04-01,2025-08-01,785,-0.13754244707604357,-0.10819854800507178,,,,,-2.7819454640489387,0.005533213277500259,0.002685347884186759,0.0018647944786587408,0.5540649483021954,0.8560509554140128,0.3069879669371146,346.85051145417685,2.2915712492851683e-64
M2MoneySupply_pct1_lag1,1960-04-01,2025-08-01,785,-0.24235799449481443,-0.15734625932739554,,,,,-3.174436468421572,0.0015599227992835643,0.0028063389886980082,0.0019018702471249897,0.5192939061052385,0.8522292993630574,0.26966616091803625,289.11244789675646,2.026091049738936e-55
Payroll_pct1_lag1,1948-01-01,2025-08-01,932,-0.6312327749784894,-0.5468277243848907,,,,,-1.4365677234213674,0.1511768047767883,0.0035874056921400715,0.0021213277212122758,0.4030361923699642,0.8047210300429185,0.16243817236007876,180.36578949705805,1.029709409002691e-37
T10Y3M_diff1,1983-03-01,2025-08-01,510,-0.1512094459584905,-0.09005976456597375,,,,,-2.0019558811178175,0.04581960833213841,0.002778347045869664,0.001862411293988213,0.18173143970832745,0.8549019607843137,0.03302631617846146,17.350388019199492,3.652485837977385e-05
TradeSales_pct1_lag2,1968-05-01,2025-08-01,688,-0.15775037653195478,-0.1261206274342388,,,,,-3.4251749632758828,0.000650948009582972,0.002819913376117254,0.0019567035196729273,0.5370186451146731,0.875,0.28838902520079923,278.0098653531481,1.1784496919991955e-52
Unemployment_diff1_lag1,1949-04-01,2025-08-01,917,-0.32530945409241485,-0.279506885207333,,,,,-1.3191317736904917,0.1874547157557796,0.0030741099170569774,0.001978765469066566,0.4890181411355674,0.8233369683751364,0.2391387423596857,287.5845590268607,2.6763612714456363e-56
