Predictor,TimesSelected,FracOrigins
CPI_pct1_diff1_lag1,265,0.5698924731182796
CoreCPI_pct1_diff1_lag1,196,0.421505376344086
Housing_pct1_lag1,127,0.2731182795698925
M2MoneySupply_pct1_lag1,127,0.2731182795698925
TradeSales_pct1_lag2,114,0.24516129032258063
CapacityUtilization_diff1_lag1,110,0.23655913978494625
DXY_Datastream_pct1,103,0.221505376344086
FedFundsRate_diff1,102,0.21935483870967742
T10Y3M_diff1,82,0.17634408602150536
Payroll_pct1_lag1,71,0.15268817204301074
Yield10Y_diff1,64,0.13763440860215054
Unemployment_diff1_lag1,54,0.11612903225806452
