Predictor,TimesSelected,FracOrigins
TradeSales_pct1_lag2,131,0.2823275862068966
DXY_Datastream_pct1,124,0.2672413793103448
CPI_pct1_lag1,120,0.25862068965517243
M2MoneySupply_pct1_lag1,115,0.2478448275862069
FedFundsRate_diff1,103,0.22198275862068967
CoreCPI_pct1_lag1,102,0.21982758620689655
Housing_pct1_lag1,98,0.21120689655172414
T10Y3M_diff1,81,0.17456896551724138
Unemployment_diff1_lag1,80,0.1724137931034483
CapacityUtilization_diff1_lag1,78,0.16810344827586207
Payroll_pct1_lag1,69,0.14870689655172414
