Key,Value
WindowType,expanding
TrainObs,240
TimeLag,1
NumPredictors,11
Predictors,CPI_pct1_lag1; CapacityUtilization_diff1_lag1; CoreCPI_pct1_lag1; DXY_Datastream_pct1; FedFundsRate_diff1; Housing_pct1_lag1; M2MoneySupply_pct1_lag1; Payroll_pct1_lag1; T10Y3M_diff1; TradeSales_pct1_lag2; Unemployment_diff1_lag1
OOS_Beg,2002-03-01
OOS_End,2026-03-01
Num_OOS_Obs,284
R2_OOS,-0.03301690147786629
R2_OOS_CT,-0.010787580154929532
CW_stat,
CW_p,
CW_stat_CT,
CW_p_CT,
DM_stat,-1.7969416313180269
DM_p,0.07341105686708391
RMSE,0.003150341892558029
MAE,0.0022093740638842643
Cor,-0.05983568478761552
HitRate,0.4753521126760563
R2_MZ,0.0035803091740028836
F_MZ,1.0132750249363809
p_MZ,0.3149824611751183
