Predictor,TimesSelected,FracOrigins
CPI_pct1_lag1,280,0.6008583690987125
CoreCPI_pct1_lag1,208,0.44635193133047213
FedFundsRate_diff1,180,0.38626609442060084
T10Y3M_diff1,169,0.3626609442060086
Housing_pct1_lag1,167,0.3583690987124464
CapacityUtilization_diff1_lag1,162,0.34763948497854075
TradeSales_pct1_lag2,156,0.33476394849785407
M2MoneySupply_pct1_lag1,147,0.315450643776824
DXY_Datastream_pct1,143,0.30686695278969955
Unemployment_diff1_lag1,120,0.2575107296137339
Payroll_pct1_lag1,115,0.24678111587982832
