Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,R2_OOS_CT,CW_stat,CW_p,CW_stat_CT,CW_p_CT,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1987-03-01,2026-03-01,464,-0.02989589281150784,-0.006170432138299153,,,,,-1.5122234505389254,0.13115926159674837,0.0028161444534858843,0.0020070264333117488,-0.03234112030913615,0.4375,0.0010459480628500191,0.48373396564100585,0.4870855201738652
CapcacityUtilization_diff1_lag1,1987-03-01,2026-03-01,464,-0.06997392576766637,-0.023654341979652438,,,,,-1.940495387028162,0.0529262045665553,0.002870416132473388,0.002000943691406008,-0.1675023044587051,0.4504310344827586,0.028057021998976726,13.336527406357373,0.000290066515510924
CoreCPI_pct1_lag1,1987-03-01,2026-03-01,464,-0.01910134389928153,-0.005492123973464436,,,,,-1.3139669713365871,0.18950795686012828,0.0028013472861188383,0.0019762403895843095,-0.04707230147184885,0.4978448275862069,0.002215801565856624,1.025973677506908,0.31163638512368924
DXY_Datastream_pct1,1987-03-01,2026-03-01,464,-0.018566354026571696,-0.0058504843392441774,,,,,-1.1690163107955875,0.2429985647317586,0.0028006118886149877,0.0019715367968428533,-0.058465961662170975,0.4698275862068966,0.003418268673082447,1.5846569100372545,0.20872687842773235
FedFundsRate_diff1,1987-03-01,2026-03-01,464,-0.037903171022234616,-0.006775842916715069,,,,,-1.2791163212082775,0.2014967833148953,0.00282707079654751,0.002004404451121971,-0.034115672795158154,0.47413793103448276,0.001163879130266294,0.5383387193835326,0.4634941954664048
Housing_pct1_lag1,1987-03-01,2026-03-01,464,-0.015888720516817,-0.009240419175726267,,,,,-1.16773091213215,0.24351630653790352,0.0027969283057541683,0.0019785410522549507,-0.022442095515755475,0.48060344827586204,0.0005036476511382918,0.23280246524068848,0.629682106687079
M2MoneySupply_pct1_lag1,1987-03-01,2026-03-01,464,-0.06938946783942668,-0.056060094949260675,,,,,-1.5252077602625058,0.12789004821674405,0.0028696320635421208,0.002033990745445355,-0.06191342064427338,0.4396551724137931,0.0038332716558747365,1.777786242628199,0.18307844034421672
Payroll_pct1_lag1,1987-03-01,2026-03-01,464,-0.9646590323363733,-0.9361492023869158,,,,,-1.0837035036557894,0.2790602896511672,0.003889572398015551,0.0021207576326830206,-0.029568348238430776,0.44612068965517243,0.0008742872175491124,0.404274146226121,0.5252049527332501
T10Y3M_diff1,1987-03-01,2026-03-01,464,-0.03322228893628387,-0.008395903758894985,,,,,-1.2848970226045833,0.19947069412571578,0.002820688631342717,0.0019885317400106734,-0.07686146253048053,0.47198275862068967,0.00590768442232446,2.7455701652093065,0.09820317713389083
TradeSales_pct1_lag2,1987-03-01,2026-03-01,464,-0.031569340385053435,-0.0335749265184182,,,,,-0.8468781022464662,0.3975005873316503,0.002818431460026667,0.0019769665411363464,-0.030621325432533226,0.46336206896551724,0.000937665571245106,0.4336080732769647,0.5105518237376488
Unemployment_diff1_lag1,1987-03-01,2026-03-01,464,-0.17739868757274135,-0.1474390648133801,,,,,-1.2506541319621145,0.21169234461414238,0.0030110643615691842,0.002040927181677692,-0.03899471572851632,0.45905172413793105,0.0015205878547477972,0.7035814462955452,0.4020166690375444
