Key,Value
WindowType,rolling
TrainObs,60
ReportLag,1
Lookback,1
OOS_Beg,1952-03-01
OOS_End,2025-08-01
Num_OOS_Obs,882
R2_OOS,0.11704752472679592
R2_OOS_CT,0.11709777662082432
CW_stat,6.69499570003128
CW_p,1.9184764887825168e-11
CW_stat_CT,6.695830486945959
CW_p_CT,1.9080848012720253e-11
DM_stat,3.884428089155683
DM_p,0.00011024897119533531
RMSE,0.0025878556004948496
MAE,0.001821982165351184
Cor,0.5551091815109243
HitRate,0.8571428571428571
R2_MZ,0.30814620339772825
F_MZ,391.94503278253814
p_MZ,1.951654207535442e-72
