Predictor,TimesSelected,FracOrigins
CoreCPI_pct1_diff1_lag1,250,0.5376344086021505
CPI_pct1_diff1_lag1,245,0.5268817204301075
FedFundsRate_diff1,185,0.3978494623655914
T10Y3M_diff1,176,0.37849462365591396
M2MoneySupply_pct1_lag1,172,0.36989247311827955
Housing_pct1_lag1,161,0.34623655913978496
TradeSales_pct1_lag2,147,0.3161290322580645
CapacityUtilization_diff1_lag1,144,0.3096774193548387
DXY_Datastream_pct1,143,0.30752688172043013
Yield10Y_diff1,129,0.27741935483870966
Payroll_pct1_lag1,115,0.24731182795698925
Unemployment_diff1_lag1,109,0.23440860215053763
