Predictor,TimesSelected,FracOrigins
CPI_pct12_lag1,183,0.4103139013452915
DXY_Datastream_pct12,129,0.289237668161435
Housing_pct12_lag1,89,0.19955156950672645
CoreCPI_pct12_lag1,79,0.17713004484304934
M2MoneySupply_pct12_lag1,79,0.17713004484304934
T10Y3M_diff12,75,0.1681614349775785
CapcacityUtilization_pct12_lag1,74,0.16591928251121077
TradeSales_pct12_lag2,69,0.1547085201793722
Unemployment_pct12_lag1,51,0.11434977578475336
FedFundsRate_diff12,35,0.07847533632286996
Payroll_pct12_lag1,30,0.06726457399103139
