Predictor,OOS_Beg,OOS_End,Num_OOS_Obs,R2_OOS,CW_stat,CW_p,DM_stat,DM_p,RMSE,MAE,Cor,HitRate,R2_MZ,F_MZ,p_MZ
CPI_pct1_lag1,1952-04-01,2025-08-01,881,-0.01867303595637737,,,-1.4189680637441857,0.1562624072114566,0.002776309944513411,0.001987354716119228,-0.005687638062764045,0.4642451759364359,3.234922673311935e-05,0.028435890177448575,0.866126911344027
CapacityUtilization_diff1_lag1,1972-04-01,2025-08-01,641,-0.05535586963607386,,,-2.173737999376983,0.030090663703450454,0.0029410657792145406,0.0020265680229435276,-0.12443302094041617,0.46177847113884557,0.015483576700358048,10.049609409631453,0.0015966436127443767
CoreCPI_pct1_lag1,1962-04-01,2025-08-01,761,-0.017840728598534694,,,-1.4389964537333522,0.1505632325035435,0.002789267894048935,0.0019512821918346967,-0.0319935295915899,0.46386333771353483,0.0010235859357284882,0.7776977657131279,0.37812535871590414
DXY_Datastream_pct1,1976-03-01,2025-08-01,594,-0.01862789780961549,,,-1.3992595839916844,0.16225800330678683,0.0027316949754072092,0.0019283664427384827,-0.06686605988130356,0.4781144781144781,0.004471069964050112,2.658760924830287,0.10351280435499408
FedFundsRate_diff1,1959-09-01,2025-08-01,792,-0.04831755642543145,,,-2.27858180169219,0.022957717918960216,0.0028139982047814156,0.0019716651933301297,-0.07241385524527824,0.44696969696969696,0.005243766431484165,4.164412688334405,0.041613674915472944
Housing_pct1_lag1,1964-04-01,2025-08-01,737,-0.027517564202563127,,,-1.869714691299885,0.06192027185494384,0.0028221454918239924,0.0019709895602475964,-0.037849213141941646,0.4626865671641791,0.0014325629354641212,1.0544443154098835,0.3048235519065929
M2MoneySupply_pct1_lag1,1964-04-01,2025-08-01,737,-0.05283691012854952,,,-1.8276658934252732,0.06800442842848693,0.002856704528480407,0.0019910603219146995,-0.07473049434263203,0.43012211668928085,0.005584646784693947,4.12776751030447,0.04254419612797588
Payroll_pct1_lag1,1952-02-01,2025-08-01,883,-0.5237427356024686,,,-1.1005554311273789,0.27139046233834835,0.003395383560704786,0.002043993832838326,-0.02888323211174141,0.45413363533408835,0.0008342410972210779,0.7355800577662769,0.39131368413706
T10Y3M_diff1,1987-03-01,2025-08-01,462,-0.03392156898983023,,,-1.2968401310427207,0.19533490252069852,0.002811324301864419,0.0019794498781029175,-0.0778036694459934,0.4696969696969697,0.0060534109792613755,2.801527849905538,0.0948543119378758
TradeSales_pct1_lag2,1972-05-01,2025-08-01,640,-0.027037499427924327,,,-1.061189140046614,0.2890048663637275,0.0029036044305694344,0.002006242670793197,-0.0557757801093513,0.4671875,0.0031109376468068106,1.9909720084375033,0.15872671038075378
Unemployment_diff1_lag1,1953-04-01,2025-08-01,869,-0.10656240532342931,,,-1.3690168377018077,0.17134815859077723,0.002890089589468598,0.001992058588369495,-0.04074302523792619,0.4487917146144994,0.0016599941055382983,1.4416079502014973,0.2302072488277516
