Predictor,TimesSelected,FracOrigins
FedFundsRate_diff1,125,0.26881720430107525
Payroll_pct1_lag1,115,0.24731182795698925
CoreCPI_pct1_lag1,110,0.23655913978494625
Housing_pct1_lag1,105,0.22580645161290322
DXY_Datastream_pct1,104,0.22365591397849463
T10Y3M_diff1,98,0.210752688172043
TradeSales_pct1_lag2,88,0.18924731182795698
CPI_pct1_lag1,87,0.1870967741935484
Unemployment_diff1_lag1,87,0.1870967741935484
M2MoneySupply_pct1_lag1,76,0.16344086021505377
CapcacityUtilization_diff1_lag1,75,0.16129032258064516
