Predictor,TimesSelected,FracOrigins
DXY_Datastream_pct1,127,0.4456140350877193
CoreCPI_pct1_diff1_lag1,82,0.28771929824561404
TradeSales_pct1_lag2,81,0.28421052631578947
Payroll_pct1_lag1,69,0.24210526315789474
FedFundsRate_diff1,65,0.22807017543859648
M2MoneySupply_pct1_lag1,61,0.21403508771929824
Housing_pct1_lag1,57,0.2
T10Y3M_diff1,42,0.14736842105263157
Yield10Y_diff1,31,0.10877192982456141
Unemployment_diff1_lag1,21,0.07368421052631578
CPI_pct1_diff1_lag1,14,0.04912280701754386
CapacityUtilization_diff1_lag1,10,0.03508771929824561
