Predictor,TimesSelected,FracOrigins
DXY_Datastream_pct1,229,0.49141630901287553
M2MoneySupply_pct1_lag1,183,0.3927038626609442
TradeSales_pct1_lag2,182,0.3905579399141631
FedFundsRate_diff1,180,0.38626609442060084
CPI_pct1_lag1,166,0.3562231759656652
Housing_pct1_lag1,136,0.2918454935622318
Payroll_pct1_lag1,127,0.27253218884120173
T10Y3M_diff1,127,0.27253218884120173
CapacityUtilization_diff1_lag1,101,0.2167381974248927
CoreCPI_pct1_lag1,93,0.19957081545064378
Unemployment_diff1_lag1,87,0.18669527896995708
