Predictor,TimesSelected,FracOrigins
CPI_pct12_lag1,245,0.5493273542600897
DXY_Datastream_pct12,132,0.29596412556053814
CoreCPI_pct12_lag1,90,0.20179372197309417
T10Y3M_diff12,87,0.19506726457399104
M2MoneySupply_pct12_lag1,75,0.1681614349775785
Housing_pct12_lag1,66,0.14798206278026907
TradeSales_pct12_lag2,62,0.13901345291479822
CapcacityUtilization_pct12_lag1,58,0.13004484304932734
Unemployment_pct12_lag1,44,0.09865470852017937
Payroll_pct12_lag1,29,0.06502242152466367
FedFundsRate_pct12,17,0.03811659192825112
